ANALYTE_ACCESSION	ANALYTE_PREFERRED	CLUSTER_SUBUNIT_GENE_IDS	CLUSTER_SUBUNIT_GENE_SYMBOLS	CLUSTER_SUBUNIT_UNIPROT_IDS	CLUSTER_SUBUNIT_UNIPROT_NAMES	GENE_ADDITIONAL_NAMES	GENE_ALIASES	GENE_ID	GENETIC_NOMENCLATURE_ID	IMMUNOLOGY_GENE_SYMBOL	IX_SYNONYMS	LINK	MESH_ID	MESH_NAME	OFFICIAL_GENE_NAME	OMIM_ID	ORTHOLOG_IDS	PROTEIN_ONTOLOGY_ID	PROTEIN_ONTOLOGY_NAME	PROTEIN_ONTOLOGY_SYNONYMS	PROTEIN_ONTOLOGY_URL	SHEN_ORR_ID	TAXONOMY_ID	TYPOGRAPHICAL_VARIATIONS	UNIPROT_ALT_PROT_NAMES	UNIPROT_ID	UNIPROT_PROTEIN_NAME	UNIQUE_ID
ANA235	TNFRSF8					CD30L receptor;Ki-1 antigen;cytokine receptor CD30;lymphocyte activation antigen CD30;tumor necrosis factor receptor superfamily member 8;	CD30;D1S166E;Ki-1;	943	HGNC:11923	TNFRSF8	-	http://www.ncbi.nlm.nih.gov/gene/?term=943	-	-	tumor necrosis factor receptor superfamily, member 8	153243	21941	PR:000001964	tumor necrosis factor receptor superfamily member 8	lymphocyte activation antigen CD30;TNFRSF8;CD30;D1S166E;Ki-1 antigen;CD30L receptor;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001964	-	9606	-	CD30L receptor;Ki-1 antigen;Lymphocyte activation antigen CD30;	TNR8_HUMAN	Tumor necrosis factor receptor superfamily member 8	CID_183
ANA236	TNFRSF9					4-1BB ligand receptor;CD137 antigen;T cell antigen ILA;T-cell antigen 4-1BB homolog;T-cell antigen ILA;homolog of mouse 4-1BB;induced by lymphocyte activation (ILA);interleukin-activated receptor, homolog of mouse Ly63;receptor protein 4-1BB;tumor necrosis factor receptor superfamily member 9;	4-1BB;CD137;CDw137;ILA;	3604	HGNC:11924	TNFRSF9	-	http://www.ncbi.nlm.nih.gov/gene/?term=3604	-	-	tumor necrosis factor receptor superfamily, member 9	602250	21942	PR:000001965	tumor necrosis factor receptor superfamily member 9	T-cell antigen ILA;T-cell antigen 4-1BB;CD137;4-1BB ligand receptor;Ly63;T-cell antigen 4-1BB homolog;CDw137;TNFRSF9;ILA;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001965	-	9606	-	4-1BB ligand receptor;CDw137;T-cell antigen 4-1BB homolog;T-cell antigen ILA;	TNR9_HUMAN	Tumor necrosis factor receptor superfamily member 9	CID_221
ANA237	TNFSF10					Apo-2 ligand;TNF-related apoptosis inducing ligand TRAIL;chemokine tumor necrosis factor ligand superfamily member 10;tumor necrosis factor (ligand) family, member 10;tumor necrosis factor apoptosis-inducing ligand splice variant delta;	TL2;APO2L;CD253;TRAIL;Apo-2L;	8743	HGNC:11925	TRAIL	-	http://www.ncbi.nlm.nih.gov/gene/?term=8743	D053220	Receptors, TNF-Related Apoptosis-Inducing Ligand	tumor necrosis factor (ligand) superfamily, member 10	603598	22035	PR:000002106	tumor necrosis factor ligand superfamily member 10	APO2L;CD253;TNF-related apoptosis-inducing ligand;TNFSF10;TRAIL;apo-2 ligand;apo-2L;protein TRAIL;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000002106	-	9606	-	Apo-2 ligand;Apo-2L;TNF-related apoptosis-inducing ligand;Protein TRAIL;CD253;	TNF10_HUMAN	Tumor necrosis factor ligand superfamily member 10	CID_273
ANA238	TNFSF11					osteoprotegerin ligand;TNFrelated activationinduced cytokine;osteoclast differentiation factor;receptor activator of nuclear factor kappaB ligand;receptor activator of nuclear factor kappa B ligand;tumor necrosis factor ligand superfamily member 11;	ODF;OPGL;sOdf;CD254;OPTB2;RANKL;TRANCE;hRANKL2;	8600	HGNC:11926	RANKL	tnfsf11;opgl;tumor necrosis factor ligand superfamily member 11;odf;optb2;rankl;cd254;osteoclast differentiation factor;receptor activator of nuclear factor kappa-b ligand;sodf;hrankl2;osteoprotegerin ligand;tumor necrosis factor (ligand) superfamily, member 11;tnf-related activation-induced cytokine;trance;	http://www.ncbi.nlm.nih.gov/gene/?term=8600	D053245	RANK Ligand	tumor necrosis factor (ligand) superfamily, member 11	602642	21943	PR:000002107	tumor necrosis factor ligand superfamily member 11	RANKL;TNFSF11;ODF;TNF-related activation-induced cytokine;OPGL;CD254;osteoprotegerin ligand;receptor activator of nuclear factor kappa-B ligand;osteoclast differentiation factor;TRANCE;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000002107	65	9606	-	Osteoclast differentiation factor;ODF;Osteoprotegerin ligand;OPGL;Receptor activator of nuclear factor kappa-B ligand;RANKL;TNF-related activation-induced cytokine;TRANCE;	TNF11_HUMAN	Tumor necrosis factor ligand superfamily member 11, soluble form	CID_166
ANA239	TNFSF12					TNFrelated WEAK inducer of apoptosis;APO3/DR3 ligand;tumor necrosis factor ligand superfamily member 12;APO3 ligand;	APO3L;DR3LG;TWEAK;	8742	HGNC:11927	TNFSF12	tnfsf12;dr3lg;tumor necrosis factor ligand superfamily member 12;tnf-related weak inducer of apoptosis;apo3l;apo-3l;mgc129581;mgc20669;tumor necrosis factor (ligand) superfamily, member 12;tweak;apo3 ligand;	http://www.ncbi.nlm.nih.gov/gene/?term=8742	-	-	tumor necrosis factor (ligand) superfamily, member 12	602695	21944	PR:000016487	tumor necrosis factor ligand superfamily member 12	APO3 ligand;DR3LG;APO3L;TNF-related weak inducer of apoptosis;TWEAK;TNFSF12;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000016487	69	9606	-	APO3 ligand;TNF-related weak inducer of apoptosis;TWEAK;	TNF12_HUMAN	Tumor necrosis factor ligand superfamily member 12, secreted form	CID_167
ANA24	CCL4					CC motif chemokine 4;G26 Tlymphocytesecreted protein;MIP1beta(169);SISgamma;macrophage inflammatory protein 1beta;lymphocyte activation gene 1 protein;secreted protein G26;Tcell activation protein 2;PAT 744;small inducible cytokine A4 (homologous to mouse Mip1b);	ACT2;G-26;HC21;LAG1;LAG-1;MIP1B;SCYA2;SCYA4;MIP1B1;AT744.1;MIP-1-beta;	6351	HGNC:10630	MIP1B	ccl-4;mip1-beta;mip 1 beta;mip-1 beta;ccl 4;	http://www.ncbi.nlm.nih.gov/gene/?term=6351	D054407	Chemokine CCL4	chemokine (C-C motif) ligand 4	182284	20303	PR:000002124	C-C motif chemokine 4	LAG-1;immune activation protein 2;ACT2;ACT-2;SCYA4;HC21;macrophage inflammatory protein 1-beta;small-inducible cytokine A4;T-cell activation protein 2;LAG1;SIS-gamma;MIP-1-beta;CCL4;MIP1B;G-26 T-lymphocyte-secreted protein;MIP-1-beta(1-69);protein H400;lymphocyte activation gene 1 protein;PAT 744;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000002124	227	9606	C-C motif chemokine 4;CCL4;Chemokine CCL4;	G-26 T-lymphocyte-secreted protein;HC21;Lymphocyte activation gene 1 protein;LAG-1;MIP-1-beta(1-69);Macrophage inflammatory protein 1-beta;MIP-1-beta;PAT 744;Protein H400;SIS-gamma;Small-inducible cytokine A4;T-cell activation protein 2;ACT-2;	CCL4_HUMAN	MIP-1-beta(3-69)	CID_30
ANA240	TNFSF13					tumor necrosis factorrelated death ligand1;tumor necrosis factor ligand superfamily member 13;a proliferationinducing ligand;tumor necrosis factorlike protein ZTNF2;TNF and APOLrelated leukocyte expressed ligand 2;	APRIL;CD256;TALL2;ZTNF2;TALL-2;TRDL-1;UNQ383/PRO715;	8741	HGNC:11928	TNFSF13	tnfsf13;unq383/pro715;april;tnf superfamily, member 13;tall-2;tumor necrosis factor (ligand) superfamily, member 13;trdl-1;a proliferation-inducing ligand;tnf-related death ligand 1;ztnf2;trdl1;tumor necrosis factor ligand superfamily member 13;cd256;tnf- and apol-related leukocyte expressed ligand 2;tall2;	http://www.ncbi.nlm.nih.gov/gene/?term=8741	D053300	Tumor Necrosis Factor Ligand Superfamily Member 13	tumor necrosis factor (ligand) superfamily, member 13	604472	69583	PR:000001947	tumor necrosis factor ligand superfamily member 13	ZTNF2;TNF-related death ligand 1;A proliferation-inducing ligand;TNFSF13;CD256;TALL-2;APRIL;TNF- and APOL-related leukocyte expressed ligand 2;TRDL-1;TALL2;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001947	67	9606	-	A proliferation-inducing ligand;APRIL;TNF- and APOL-related leukocyte expressed ligand 2;TALL-2;TNF-related death ligand 1;TRDL-1;	TNF13_HUMAN	Tumor necrosis factor ligand superfamily member 13	CID_168
ANA195	MIF					macrophage migration inhibitory factor;EC 5.3.3.12;Ldopachrome isomerase;Ldopachrome tautomerase;phenylpyruvate tautomeraseNP_002406.1;EC 5.3.2.1;	GIF;GLIF;MMIF;	4282	HGNC:7097	MIF	-	http://www.ncbi.nlm.nih.gov/gene/?term=4282	-	-	macrophage migration inhibitory factor (glycosylation-inhibiting factor)	153620	17319	PR:000010413	macrophage migration inhibitory factor	DER6;GIF;GLIF;L-dopachrome isomerase;L-dopachrome tautomerase;MIFPRO-short-label;MMIF;delayed early response protein 6;glycosylation-inhibiting factor;phenylpyruvate tautomerase;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000010413	-	9606	-	MIF;Glycosylation-inhibiting factor;GIF;L-dopachrome isomerase;L-dopachrome tautomerase;Phenylpyruvate tautomerase;	MIF_HUMAN	Macrophage migration inhibitory factor	CID_143
ANA196	MPL					TPO-R;myeloproliferative leukemia protein;proto-oncogene c-Mpl;thrombopoietin receptor;	RP1-92O14.1;C-MPL;CD110V;THCYT2;TPOR;MPL;	4352	HGNC:7217	MPL	-	http://www.ncbi.nlm.nih.gov/gene/?term=4352	-	-	myeloproliferative leukemia virus oncogene	159530	17480	PR:000001939	thrombopoietin receptor	MPL;proto-oncogene c-Mpl;TPOR;TPO-R;CD110;myeloproliferative leukemia protein;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001939	-	9606	-	TPO-R;Myeloproliferative leukemia protein;Proto-oncogene c-Mpl;	TPOR_HUMAN	Thrombopoietin receptor	CID_256
ANA197	MST1					hepatocyte growth factor-like protein homolog;macrophage stimulating 1 (hepatocyte growth factor-like);macrophage-stimulating protein;	MSP;HGFL;NF15S2;D3F15S2;DNF15S2;	4485	HGNC:7380	MST1	-	http://www.ncbi.nlm.nih.gov/gene/?term=4485	-	-	macrophage stimulating 1	142408	15235	PR:000010683	hepatocyte growth factor-like protein	D3F15S2;DNF15S2;HGFL;MSP;MST1;macrophage stimulatory protein;macrophage-stimulating protein;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000010683	-	9606	-	Macrophage stimulatory protein;Macrophage-stimulating protein;MSP;	HGFL_HUMAN	Hepatocyte growth factor-like protein	CID_274
ANA198	MST1R					MSP receptor;MST1R variant RON30;MST1R variant RON62;PTK8 protein tyrosine kinase 8;RON variant 21;RON variant E2E3;c-met-related tyrosine kinase;macrophage-stimulating protein receptor;p185-Ron;soluble RON variant 1;soluble RON variant 2;soluble RON variant 3;soluble RON variant 4;	CD136;CDw136;PTK8;RON;	4486	HGNC:7381	MST1R	-	http://www.ncbi.nlm.nih.gov/gene/?term=4486	-	-	macrophage stimulating 1 receptor (c-met-related tyrosine kinase)	600168	19882	PR:000002063	macrophage-stimulating protein receptor	Stem cell-derived tyrosine kinase;RON;p185-Ron;PTK8;CD136;Stk;MSP receptor;protein-tyrosine kinase 8;MST1R;CDw136;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000002063	-	9606	-	MSP receptor;CDw136;Protein-tyrosine kinase 8;p185-Ron;	RON_HUMAN	Macrophage-stimulating protein receptor beta chain	CID_225
ANA199	OSM					oncostatinM;	-	5008	HGNC:8506	OSM	-	http://www.ncbi.nlm.nih.gov/gene/?term=5008	D053683	Oncostatin M	oncostatin M	165095	18413	PR:000012059	oncostatin-M	OSM;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000012059	-	9606	Oncostatin M;	OSM;	ONCM_HUMAN	Oncostatin-M	CID_147
ANA2	CCL1					small inducible cytokine A1 (I309, homologous to mouse Tca3);CC motif chemokine 1;T lymphocytesecreted protein I309;inflammatory cytokine I309;	P500;SISe;TCA3;I-309;SCYA1;	6346	HGNC:10609	CCL1	-	http://www.ncbi.nlm.nih.gov/gene/?term=6346	D054402	Chemokine CCL1	chemokine (C-C motif) ligand 1	182281	20290	PR:000001985	C-C motif chemokine 1	TCA-3;CCL1;T-cell activation protein 3;TCA3;SCYA1;SIS-epsilon;small-inducible cytokine A1;P500;T lymphocyte-secreted protein I-309;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001985	-	9606	Chemokine CCL1;CCL1;	Small-inducible cytokine A1;T lymphocyte-secreted protein I-309;	CCL1_HUMAN	C-C motif chemokine 1	CID_10
ANA20	CCL3					macrophage inflammatory protein 1alpha;PAT 464.1;SISbeta;CC motif chemokine 3;small inducible cytokine A3 (homologous to mouse Mip1a);tonsillar lymphocyte LD78 alpha protein;G0/G1 switch regulatory protein 191;	MIP1A;SCYA3;G0S19-1;LD78ALPHA;MIP-1-alpha;	6348	HGNC:10627	MIP1A	ccl-3;mip1-alpha;ccl 3;mip 1 alpha;mip-1 alpha;	http://www.ncbi.nlm.nih.gov/gene/?term=6348	D054405	Chemokine CCL3	chemokine (C-C motif) ligand 3	182283	20302	PR:000002123	C-C motif chemokine 3	TY-5;SCYA3;tonsillar lymphocyte LD78 alpha protein;MIP-1-alpha;heparin-binding chemotaxis protein;L2G25B;macrophage inflammatory protein 1-alpha;PAT 464.1;G0S19-1;SIS-alpha;small-inducible cytokine A3;SIS-beta;MIP1A;G0/G1 switch regulatory protein 19-1;CCL3;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000002123	229	9606	C-C motif chemokine 3;CCL3;Chemokine CCL3;	G0/G1 switch regulatory protein 19-1;Macrophage inflammatory protein 1-alpha;MIP-1-alpha;PAT 464.1;SIS-beta;Small-inducible cytokine A3;Tonsillar lymphocyte LD78 alpha protein;LD78-alpha(4-69);	CCL3_HUMAN	MIP-1-alpha(4-69)	CID_29
ANA200	OSMR					IL-31 receptor subunit beta;IL-31R subunit beta;IL-31R-beta;IL-31RB;interleukin-31 receptor subunit beta;oncostatin-M specific receptor beta subunit;oncostatin-M-specific receptor subunit beta;	OSMRB;PLCA1;	9180	HGNC:8507	OSMR	-	http://www.ncbi.nlm.nih.gov/gene/?term=9180	-	-	oncostatin M receptor	601743	18414	PR:000012060	oncostatin-M-specific receptor subunit beta	IL-31 receptor subunit beta;OSMRB;OSMR;IL-31R subunit beta;interleukin-31 receptor subunit beta;IL-31RB;IL-31R-beta;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000012060	-	9606	-	Interleukin-31 receptor subunit beta;IL-31 receptor subunit beta;IL-31R subunit beta;IL-31R-beta;IL-31RB;	OSMR_HUMAN	Oncostatin-M-specific receptor subunit beta	CID_243
ANA201	PDGFA					plateletderived growth factor A chain;PDGF Achain;PDGF1;plateletderived growth factor subunit A;plateletderived growth factor alpha isoform 2 preproprotein;PDGF subunit A;plateletderived growth factor alpha chain;	PDGF1;PDGF-A;	5154	HGNC:8799	PDGFA	-	http://www.ncbi.nlm.nih.gov/gene/?term=5154	-	-	platelet-derived growth factor alpha polypeptide	173430	18590	PR:000012490	platelet-derived growth factor subunit A	platelet-derived growth factor subunit A;PDGF subunit A;PDGF-1;PDGF1;PDGFA;platelet-derived growth factor A chain;platelet-derived growth factor alpha polypeptide;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000012490	-	9606	-	PDGF subunit A;PDGF-1;Platelet-derived growth factor A chain;Platelet-derived growth factor alpha polypeptide;	PDGFA_HUMAN	Platelet-derived growth factor subunit A	CID_151
ANA202	PDGFB					plateletderived growth factor beta polypeptide (simian sarcoma viral (vsis) oncogene homolog);plateletderived growth factor, beta polypeptide (oncogene SIS);becaplermin;plateletderived growth factor subunit B;PDGF subunit B;plateletderived growth factor B chain;PDGF, B chain;plateletderived growth factor 2;protooncogene cSis;	SIS;SSV;IBGC5;PDGF2;c-sis;PDGF-2;	5155	HGNC:8800	PDGFB	-	http://www.ncbi.nlm.nih.gov/gene/?term=5155	-	-	platelet-derived growth factor beta polypeptide	190040	18591	PR:000012491	platelet-derived growth factor subunit B	platelet-derived growth factor subunit B;PDGF subunit B;PDGF-2;PDGF2;PDGFB;SIS;becaplermin;platelet-derived growth factor B chain;platelet-derived growth factor beta polypeptide;proto-oncogene c-Sis;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000012491	-	9606	-	PDGF subunit B;PDGF-2;Platelet-derived growth factor B chain;Platelet-derived growth factor beta polypeptide;Proto-oncogene c-Sis;	PDGFB_HUMAN	Platelet-derived growth factor subunit B	CID_152
ANA203	PDGFRA					CD140 antigen-like family member A;CD140a antigen;PDGF-R-alpha;PDGFRA/BCR fusion;alpha-type platelet-derived growth factor receptor;platelet-derived growth factor receptor 2;platelet-derived growth factor receptor alpha;rearranged-in-hypereosinophilia-platelet derived growth factor receptor alpha fusion protein;	CD140A;PDGFR-2;PDGFR2;RHEPDGFRA;	5156	HGNC:8803	PDGFRA	-	http://www.ncbi.nlm.nih.gov/gene/?term=5156	-	-	platelet-derived growth factor receptor, alpha polypeptide	173490	18595	PR:000002030	alpha-type platelet-derived growth factor receptor	CD140a;CD140 antigen-like family member A;CD140a antigen;PDGF-R-alpha;PDGFRA;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000002030	-	9606	-	PDGF-R-alpha;PDGFR-alpha;Alpha platelet-derived growth factor receptor;Alpha-type platelet-derived growth factor receptor;CD140 antigen-like family member A;CD140a antigen;Platelet-derived growth factor alpha receptor;Platelet-derived growth factor receptor 2;PDGFR-2;	PGFRA_HUMAN	Platelet-derived growth factor receptor alpha	CID_258
ANA204	PDGFRB					CD140 antigen-like family member B;PDGF-R-beta;PDGFR-beta;beta-type platelet-derived growth factor receptor;platelet-derived growth factor receptor 1;platelet-derived growth factor receptor beta;	CD140B;IBGC4;IMF1;JTK12;PDGFR;PDGFR-1;PDGFR1;	5159	HGNC:8804	PDGFRB	-	http://www.ncbi.nlm.nih.gov/gene/?term=5159	-	-	platelet-derived growth factor receptor, beta polypeptide	173410	18596	PR:000002035	beta-type platelet-derived growth factor receptor	Pdgfr;PDGF-R-beta;PDGFRB;CD140 antigen-like family member B;CD140b;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000002035	-	9606	-	PDGF-R-beta;PDGFR-beta;Beta platelet-derived growth factor receptor;Beta-type platelet-derived growth factor receptor;CD140 antigen-like family member B;Platelet-derived growth factor receptor 1;PDGFR-1;	PGFRB_HUMAN	Platelet-derived growth factor receptor beta	CID_259
ANA205	PF4					chemokine (CXC motif) ligand 4;iroplact;platelet factor 4;oncostatinA;CXC motif chemokine 4;	PF-4;CXCL4;SCYB4;	5196	HGNC:8861	PF4	cxcl-4;mgc138298;pf-4;cxcl4;iroplact;platelet factor-4;pf4;scyb4;c-x-c motif chemokine 4;oncostatin-A;chemokine (c-x-c motif) ligand 4;platelet factor 4;	http://www.ncbi.nlm.nih.gov/gene/?term=5196	D010978	Platelet Factor 4	platelet factor 4	173460	56744	PR:000012569	platelet factor 4	SCYB4;PF4;iroplact;PF-4;CXCL4;C-X-C motif chemokine 4;oncostatin-A;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000012569	269	9606	Platelet Factor 4;	PF-4;C-X-C motif chemokine 4;Iroplact;Oncostatin-A;	PLF4_HUMAN	Platelet factor 4, short form	CID_48
ANA206	PF4V1					PF4alt;PF4var1;platelet factor 4, variant 1 (PF4like);platelet factor 4 variant;CXC motif chemokine 4;	PF4A;CXCL4L1;CXCL4V1;PF4-ALT;SCYB4V1;	5197	HGNC:8862	PF4V1	cxcl4l1;scyb4v1;pf4alt;c-x-c motif chemokine 4 variant;pf4a;pf4-alt;platelet factor 4 variant 1;platelet factor 4 variant;cxcl4v1;pf4var1;pf4v1;	http://www.ncbi.nlm.nih.gov/gene/?term=5197	-	-	platelet factor 4 variant 1	173461	-	PR:000012570	platelet factor 4 variant	PF4alt;PF4var1;CXCL4V1;SCYB4V1;PF4V1;C-X-C motif chemokine 4 variant;CXCL4L1;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000012570	267	9606	-	C-X-C motif chemokine 4 variant;CXCL4L1;PF4alt;PF4var1;	PF4V_HUMAN	Platelet factor 4 variant(6-74)	CID_149
ANA207	PPBP					lowaffinity platelet factor IV;macrophagederived growth factor;CXC motif chemokine 7;leukocytederived growth factor;thrombocidin 2;neutrophilactivating peptide2;neutrophilactivating peptide 2;betathromboglobulin;smallinducible cytokine B7;connective tissueactivating peptide III;CXC chemokine ligand 7;small inducible cytokine B7;thromboglobulin, beta1;platelet basic protein;thrombocidin 1;small inducible cytokine subfamily B, member 7;	PBP;TC1;TC2;TGB;LDGF;MDGF;TGB1;B-TG1;CTAP3;CXCL7;NAP-2;SCYB7;THBGB;LA-PF4;THBGB1;Beta-TG;CTAPIII;CTAP-III;	5473	HGNC:9240	PPBP	cxcl-7;ctapiii;connective tissue-activating peptide iii;ctap iii;(beta)-thromboglobulin 2;macrophage-derived growth factor;ctap-3;pro-platelet basic protein-like-1;connective tissue-activating peptide 3;tgb-1;pbp;platelet basic protein;tgb;ctap-iii;(beta)-thromboglobulin-2;pro-platelet basic protein;tgb1;tgb2;mdgf;beta tg;thbgb;beta-thromboglobulin-2;thbg-b1;ppbp;cxcl7;tc-2;scyb7;nap-2;neutrophil-activating peptide 2;nap2;beta thromboglobulin 2;leukocyte-derived growth factor;b-tg1;ppbpl1;ctap3;btg1;c-x-c motif chemokine 7;tc-1;la-pf4;ldgf;beta-thromboglobulin 2;tc2;chemokine (c-x-c motif) ligand 7;tc1;small-inducible cytokine B7;thbgb1;beta thromboglobulin-2;beta-tg;	http://www.ncbi.nlm.nih.gov/gene/?term=5473	D001620	beta-Thromboglobulin	pro-platelet basic protein (chemokine (C-X-C motif) ligand 7)	121010	57349	PR:000013062	platelet basic protein	small-inducible cytokine B7;macrophage-derived growth factor;PPBP;LDGF;THBGB1;SCYB7;CXCL7;leukocyte-derived growth factor;C-X-C motif chemokine 7;TGB1;PBP;CTAP3;MDGF;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000013062	277	9606	beta Thromboglobulin;beta-Thromboglobulin;	PBP;C-X-C motif chemokine 7;Leukocyte-derived growth factor;LDGF;Macrophage-derived growth factor;MDGF;Small-inducible cytokine B7;CTAP-III;LA-PF4;Low-affinity platelet factor IV;CTAP-III(1-81);Beta-TG;NAP-2(74);NAP-2(73);NAP-2;NAP-2(1-66);NAP-2(1-63);	CXCL7_HUMAN	Neutrophil-activating peptide 2(1-63)	CID_51
ANA3	CCL11					eosinophil chemotactic protein;eotaxin;small inducible cytokine subfamily A (CysCys), member 11 (eotaxin);eotaxin1;	SCYA11;	6356	HGNC:10610	Eotaxin	Chemokine_CCL11;ccl-11;small-inducible cytokine a11;c-c motif chemokine 11;ccl11;eosinophil chemotactic protein;eotaxin;scya11;mgc22554;chemokine (c-c motif) ligand 11;	http://www.ncbi.nlm.nih.gov/gene/?term=6356	D054413	Chemokine CCL11	chemokine (C-C motif) ligand 11	601156	20292	PR:000002139	eotaxin	C-C motif chemokine 11;eosinophil chemotactic protein;CCL11;SCYA11;small-inducible cytokine A11;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000002139	225	9606	C-C motif chemokine 11;CCL11;CCL-11;Chemokine CCL11;	C-C motif chemokine 11;Eosinophil chemotactic protein;Small-inducible cytokine A11;	CCL11_HUMAN	Eotaxin	CID_11
ANA30	CCR1					C-C CKR-1;C-C chemokine receptor type 1;CC-CKR-1;CCR-1;LD78 receptor;MIP-1alpha-R;RANTES receptor;RANTES-R;macrophage inflammatory protein 1-alpha receptor;	CD191;CKR-1;CKR1;CMKBR1;HM145;MIP1aR;SCYAR1;	1230	HGNC:1602	CCR1	-	http://www.ncbi.nlm.nih.gov/gene/?term=1230	-	-	chemokine (C-C motif) receptor 1	601159	12768	PR:000001254	chemokine receptor CCR1	HM145;CCR-1;RANTES-R;CD191;CMKBR1;CC-CKR-1;LD78 receptor;macrophage inflammatory protein 1-alpha receptor;C-C CKR-1;CCR1;MIP-1alpha-R;SCYAR1;CMKR1;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001254	-	9606	-	C-C CKR-1;CC-CKR-1;CCR-1;CCR1;HM145;LD78 receptor;Macrophage inflammatory protein 1-alpha receptor;MIP-1alpha-R;RANTES-R;	CCR1_HUMAN	C-C chemokine receptor type 1	CID_185
ANA31	CCR10					C-C CKR-10;C-C chemokine receptor type 10;CC chemokine receptor 10;CC-CKR-10;CCR-10;G protein-coupled receptor 2;G-protein coupled receptor 2;	GPR2;	2826	HGNC:4474	CCR10	-	http://www.ncbi.nlm.nih.gov/gene/?term=2826	-	-	chemokine (C-C motif) receptor 10	600240	12777	PR:000001198	C-C chemokine receptor type 10	chemokine receptor CCR10;chemokine C-C receptor 9;C-C CKR-10;Cmkbr9;CC-CKR-10;CCR-10;GPR2;G-protein coupled receptor 2;CCR10;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001198	-	9606	-	C-C CKR-10;CC-CKR-10;CCR-10;G-protein coupled receptor 2;	CCR10_HUMAN	C-C chemokine receptor type 10	CID_199
ANA32	CCR2					C-C chemokine receptor type 2;MCP-1 receptor;monocyte chemoattractant protein 1 receptor;monocyte chemotactic protein 1 receptor;	hCG_14621;CC-CKR-2;CCR-2A;CCR2B;CD192;CKR2;CKR2A;CKR2B;CMKBR2;MCP-1-R;CCR2;	729230	HGNC:1603	CCR2	-	http://www.ncbi.nlm.nih.gov/gene/?term=729230	-	-	chemokine (C-C motif) receptor 2	601267	12772	PR:000001199	C-C chemokine receptor type 2	C-C CKR-2;CC-CKR-2;CCR-2;MCP-1-R;JE/FIC receptor;monocyte chemoattractant protein 1 receptor;CCR2;chemokine receptor CCR2;CMKBR2;MCP-1 receptor;CD192;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001199	-	9606	-	C-C CKR-2;CC-CKR-2;CCR-2;CCR2;Monocyte chemoattractant protein 1 receptor;MCP-1-R;	CCR2_HUMAN	C-C chemokine receptor type 2	CID_249
ANA33	CCR3					C-C CKR-3;C-C chemokine receptor type 3;CC chemokine receptor 3;CCR-3;b-chemokine receptor;eosinophil CC chemokine receptor 3;eosinophil eotaxin receptor;	CC-CKR-3;CD193;CKR3;CMKBR3;	1232	HGNC:1604	CCR3	-	http://www.ncbi.nlm.nih.gov/gene/?term=1232	-	-	chemokine (C-C motif) receptor 3	601268	12771	PR:000001255	chemokine receptor CCR3	Cmkbr1l2;C-C CKR-3;eosinophil eotaxin receptor;MIP-1 alpha RL2;CKR3;CMKBR3;macrophage inflammatory protein 1-alpha receptor-like 2;CC-CKR-3;CCR-3;CCR3;CD193;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001255	-	9606	-	C-C CKR-3;CC-CKR-3;CCR-3;CCR3;CKR3;Eosinophil eotaxin receptor;	CCR3_HUMAN	C-C chemokine receptor type 3	CID_186
