ANALYTE_ACCESSION	GENE_SYMBOL	GENE_ALIASES	GENE_ID	GENETIC_NOMENCLATURE_ID	IMMUNOLOGY_GENE_SYMBOL	LINK	OFFICIAL_GENE_NAME	PROTEIN_ONTOLOGY_ID	PROTEIN_ONTOLOGY_NAME	PROTEIN_ONTOLOGY_SYNONYMS	TAXONOMY_ID	UNIPROT_ENTRY	UNIPROT_ENTRY_NAME
ANA171	IL36G	IL1E;IL1F9;IL1H1;IL-1F9;IL-1H1;IL1RP2;IL-1RP2;	56300	HGNC:15741	IL36G	http://www.ncbi.nlm.nih.gov/gene/?term=56300	interleukin 36, gamma	PR:000008990	interleukin-1 family member 9	interleukin-1 family member 9 IL-1 epsilon;IL-1-related protein 2;IL-1F9;IL-1H1;IL-1RP2;IL1E;IL1F9;IL1H1;IL1RP2;IL36G;interleukin-1 epsilon;interleukin-1 homolog 1;	9606	IL36G_HUMAN	Interleukin-36 gamma
ANA172	IL36RN	FIL1;FIL1D;IL1F5;IL1L1;PSORP;IL1HY1;IL1RP3;IL36RA;FIL1(DELTA);	26525	HGNC:15561	IL36RN	http://www.ncbi.nlm.nih.gov/gene/?term=26525	interleukin 36 receptor antagonist	PR:000008988	interleukin-1 family member 5	interleukin-1 family member 5;FIL1 delta;FIL1D;IL-1 delta;IL-1-related protein 3;IL-1F5;IL-1H3;IL-1HY1;IL-1L1;IL-1RP3;IL-1ra homolog 1;IL1F5;IL1HY1;IL1L1;IL1RP3;IL36RN;Il1h3;interleukin-1 HY1;interleukin-1 delta;interleukin-1 homolog 3;interleukin-1 receptor antagonist homolog 1;interleukin-1-like protein 1;	9606	I36RA_HUMAN	Interleukin-36 receptor antagonist protein
ANA173	IL3RA	RP11-261P4.2;CD123;IL3RY;IL3RX;IL3RY;hIL-3Ra;IL3RA;	3563	HGNC:6012	IL3RA	http://www.ncbi.nlm.nih.gov/gene/?term=3563	interleukin 3 receptor, alpha (low affinity)	PR:000001865	interleukin-3 receptor class 2 alpha chain	IL-3R-alpha;IL3RA;IL-3RA;IL3R;IL-3 receptor subunit alpha;Sut-1;interleukin-3 receptor class II alpha chain;IL-3R subunit alpha;CD123;	9606	IL3RA_HUMAN	Interleukin-3 receptor subunit alpha
ANA174	IL4	BSF1;IL-4;BCGF1;BSF-1;BCGF-1;	3565	HGNC:6014	IL4	http://www.ncbi.nlm.nih.gov/gene/?term=3565	interleukin 4	PR:000001391	interleukin-4	B-cell growth factor 1;binetrakin;lymphocyte stimulatory factor 1;pitrakinra;IL4;B-cell IgG differentiation factor;IL-4;BSF-1;B-cell stimulatory factor 1;IGG1 induction factor;	9606	IL4_HUMAN	Interleukin-4
ANA175	IL4R	582J2.1;CD124;IL-4RAA;IL4R;	3566	HGNC:6015	IL4R	http://www.ncbi.nlm.nih.gov/gene/?term=3566	interleukin 4 receptor	PR:000001866	interleukin-4 receptor subunit alpha	IL4R;IL-4R subunit alpha;IL-4RA;IL-4 receptor subunit alpha;IL4RA;CD124;IL-4R-alpha;	9606	IL4RA_HUMAN	Soluble interleukin-4 receptor subunit alpha
ANA176	IL5	EDF;TRF;IL-5;	3567	HGNC:6016	IL5	http://www.ncbi.nlm.nih.gov/gene/?term=3567	interleukin 5	PR:000001392	interleukin-5	BCGF-II;IL5;cytotoxic T-lymphocyte inducer;TRF;eosinophil differentiation factor;T-cell replacing factor;B-cell growth factor II;IL-5;B-cell differentiation factor I;	9606	IL5_HUMAN	Interleukin-5
ANA177	IL5RA	CD125;CDw125;HSIL5R3;IL5R;	3568	HGNC:6017	IL5RA	http://www.ncbi.nlm.nih.gov/gene/?term=3568	interleukin 5 receptor, alpha	PR:000001867	interleukin-5 receptor subunit alpha	IL-5R subunit alpha;IL-5RA;CDw125;IL5RA;CD125;IL5R;IL-5 receptor subunit alpha;IL-5R-alpha;	9606	IL5RA_HUMAN	Interleukin-5 receptor subunit alpha
ANA178	IL6	HGF;HSF;BSF2;IL-6;IFNB2;	3569	HGNC:6018	IL6	http://www.ncbi.nlm.nih.gov/gene/?term=3569	interleukin 6	PR:000001393	interleukin-6	B-cell stimulatory factor 2;interferon beta-2;interleukin HP-1;BSF-2;B-cell hybridoma growth factor;hybridoma growth factor;IL-6;CTL differentiation factor;IFN-beta-2;IL6;CDF;IFNB2;	9606	IL6_HUMAN	Interleukin-6
ANA179	IL6R	CD126;IL-6R-1;IL-6RA;IL6QA;IL6RQ;gp80;IL6R;	3570	HGNC:6019	IL6R	http://www.ncbi.nlm.nih.gov/gene/?term=3570	interleukin 6 receptor	PR:000001394	interleukin-6 receptor subunit alpha	IL-6R subunit alpha;IL-6RA;IL-6R 1;IL-6R-alpha;membrane glycoprotein 80;IL6RA;IL6R;Il6ra;IL-6 receptor subunit alpha;CD126;gp80;	9606	IL6RA_HUMAN	Interleukin-6 receptor subunit alpha
ANA18	CCL26	IMAC;TSC-1;MIP-4a;SCYA26;MIP-4alpha;	10344	HGNC:10625	CCL26	http://www.ncbi.nlm.nih.gov/gene/?term=10344	chemokine (C-C motif) ligand 26	PR:000001997	C-C motif chemokine 26	small-inducible cytokine A26;TSC-1;MIP-4-alpha;CC chemokine IMAC;SCYA26;CCL26;macrophage inflammatory protein 4-alpha;eotaxin-3;thymic stroma chemokine-1;	9606	CCL26_HUMAN	C-C motif chemokine 26
ANA180	IL6ST	CD130;CDW130;GP130;IL-6RB;	3572	HGNC:6021	IL6ST	http://www.ncbi.nlm.nih.gov/gene/?term=3572	interleukin 6 signal transducer	PR:000001868	interleukin-6 receptor subunit beta	IL6ST;IL-6R subunit beta;oncostatin-M receptor subunit alpha;membrane glycoprotein 130;gp130;CD130;CDw130;IL-6R-beta;IL-6 receptor subunit beta;IL-6RB;interleukin-6 signal transducer;	9606	IL6RB_HUMAN	Interleukin-6 receptor subunit beta
ANA181	IL7	IL-7;	3574	HGNC:6023	IL7	http://www.ncbi.nlm.nih.gov/gene/?term=3574	interleukin 7	PR:000001317	interleukin-7	IL-7;IL7;	9606	IL7_HUMAN	Interleukin-7
ANA182	IL7R	CD127;CDW127;IL-7R-alphaA;ILRA;IL7R;	3575	HGNC:6024	IL7R	http://www.ncbi.nlm.nih.gov/gene/?term=3575	interleukin 7 receptor	PR:000001869	interleukin-7 receptor subunit alpha	IL-7 receptor subunit alpha;IL7R;CD127;IL-7R-alpha;IL-7RA;IL-7R subunit alpha;CDw127;	9606	IL7RA_HUMAN	Interleukin-7 receptor subunit alpha
ANA183	IL9	P40;HP40;IL-9;	3578	HGNC:6029	IL9	http://www.ncbi.nlm.nih.gov/gene/?term=3578	interleukin 9	PR:000001396	interleukin-9	cytokine P40;IL-9;IL9;T-cell growth factor P40;	9606	IL9_HUMAN	Interleukin-9
ANA184	IL9R	CD129;IL-9R;	3581	HGNC:6030	IL9R	http://www.ncbi.nlm.nih.gov/gene/?term=3581	interleukin 9 receptor	PR:000001397	interleukin-9 receptor	IL-9 receptor;IL9R;CD129;IL-9R;	9606	IL9R_HUMAN	Interleukin-9 receptor
ANA185	KIT	C-Kit;CD117;PBT;SCFR;	3815	HGNC:6342	KIT	http://www.ncbi.nlm.nih.gov/gene/?term=3815	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	PR:000002065	mast/stem cell growth factor receptor	tyrosine-protein kinase Kit;KIT;CD117;SCFR;Sl;proto-oncogene c-Kit;	9606	KIT_HUMAN	Mast/stem cell growth factor receptor Kit
ANA186	KITLG	SF;MGF;SCF;FPH2;KL-1;Kitl;SHEP7;	4254	HGNC:6343	KITLG	http://www.ncbi.nlm.nih.gov/gene/?term=4254	KIT ligand	PR:000009345	kit ligand	KITLGPRO-short-label;Kitl;MGF;SCF;Sl;Slf;c-Kit ligand;hematopoietic growth factor KL;mast cell growth factor;steel factor;stem cell factor;	9606	SCF_HUMAN	Soluble KIT ligand
ANA187	LBT	p33;TNFC;TNFSF3;	4050	HGNC:6711	LBT	http://www.ncbi.nlm.nih.gov/gene/?term=4050	lymphotoxin beta (TNF superfamily, member 3)	PR:000002205	lymphotoxin-beta	LT-beta;LTBPRO;TNF-C;TNFC;TNFSF3;tumor necrosis factor C;tumor necrosis factor ligand superfamily member 3;	9606	TNFC_HUMAN	Lymphotoxin-beta
ANA188	LECT1	CHM1;CHM-I;BRICD3;MYETS1;	11061	HGNC:17005	LECT1	http://www.ncbi.nlm.nih.gov/gene/?term=11061	leukocyte cell derived chemotaxin 1	PR:000009749	chondromodulin-1	CHMI;ChM-I;;LECT1;PRO-short-label;chondromodulin-I;;leukocyte cell-derived chemotaxin 1;	9606	LECT1_HUMAN	Chondromodulin-1
ANA189	LECT2	chm2;chm-II;	3950	HGNC:6550	LECT2	http://www.ncbi.nlm.nih.gov/gene/?term=3950	leukocyte cell-derived chemotaxin 2	PR:000009750	leukocyte cell-derived chemotaxin-2	ChM-II;LECT-2;LECT2PRO-short-label;chondromodulin II;	9606	LECT2_HUMAN	Leukocyte cell-derived chemotaxin-2
ANA19	CCL27	ALP;ILC;CTAK;CTACK;PESKY;ESKINE;SCYA27;	10850	HGNC:10626	CTACK	http://www.ncbi.nlm.nih.gov/gene/?term=10850	chemokine (C-C motif) ligand 27	PR:000001802	C-C motif chemokine 27	mILC;SCYA27;ILC;CC chemokine ILC;skinkine;cutaneous T-cell-attracting chemokine;small-inducible cytokine A27;CTACK;ESkine;IL-11 R-alpha-locus chemokine;ALP;CCL27;	9606	CCL27_HUMAN	C-C motif chemokine 27
ANA190	LIF	CDF;DIA;HILDA;MLPLI;	3976	HGNC:6596	LIF	http://www.ncbi.nlm.nih.gov/gene/?term=3976	leukemia inhibitory factor	PR:000009799	leukemia inhibitory factor	melanoma-derived LPL inhibitor;emfilermin;MLPLI;HILDA;differentiation-stimulating factor;LIF;D factor;	9606	LIF_HUMAN	Leukemia inhibitory factor
ANA191	LIFR	CD118;LIF-R;SJS2;STWS;SWS;	3977	HGNC:6597	LIFR	http://www.ncbi.nlm.nih.gov/gene/?term=3977	leukemia inhibitory factor receptor alpha	PR:000001876	leukemia inhibitory factor receptor	CD118;D-factor/LIF receptor;LIF receptor;LIF-R;LIFR;	9606	LIFR_HUMAN	Leukemia inhibitory factor receptor
ANA192	LTA	LT;TNFB;TNFSF1;	4049	HGNC:6709	TNFB	http://www.ncbi.nlm.nih.gov/gene/?term=4049	lymphotoxin alpha	PR:000002204	lymphotoxin-alpha	tumor necrosis factor ligand superfamily member 1;LT-alpha;TNF-beta;LTA;TNFSF1;TNFB;	9606	TNFB_HUMAN	Lymphotoxin-alpha
ANA193	LTBR	CD18;D12S370;LT-BETA-R;TNF-R-III;TNFCR;TNFR-RP;TNFR2-RP;TNFR3;TNFRSF3;	4055	HGNC:6718	LTBR	http://www.ncbi.nlm.nih.gov/gene/?term=4055	lymphotoxin beta receptor	PR:000009976	tumor necrosis factor receptor superfamily member 3	D12S370;LTBR;TNF-RIII;TNFCR;TNFR-III;TNFR3;TNFRSF3;lymphotoxin-beta receptor;tumor necrosis factor C receptor;tumor necrosis factor receptor 2-related protein;tumor necrosis factor receptor type III;	9606	TNR3_HUMAN	Tumor necrosis factor receptor superfamily member 3
ANA194	MET	AUTS9;HGFR;RCCP2;c-Met;	4233	HGNC:7029	MET	http://www.ncbi.nlm.nih.gov/gene/?term=4233	met proto-oncogene	PR:000010335	hepatocyte growth factor receptor	HGF/SF receptor;HGF receptor;scatter factor receptor;proto-oncogene c-Met;SF receptor;tyrosine-protein kinase Met;MET;	9606	MET_HUMAN	Hepatocyte growth factor receptor
ANA138	IL17RA	CANDF5;CD217;CDw217;IL-17RA;IL17R;hIL-17R;	23765	HGNC:5985	IL17RA	http://www.ncbi.nlm.nih.gov/gene/?term=23765	interleukin 17 receptor A	PR:000001375	interleukin-17 receptor A	IL-17RA;IL-17 receptor A;IL17RA;CD217;CDw217;IL17R;	9606	I17RA_HUMAN	Interleukin-17 receptor A
ANA139	IL18	IGIF;IL-18;IL-1g;IL1F4;	3606	HGNC:5986	IL18	http://www.ncbi.nlm.nih.gov/gene/?term=3606	interleukin 18	PR:000001376	interleukin-18	IFN-gamma-inducing factor;IGIF;IL-1 gamma;IL-18;IL18PRO-short-label;IL1F4;iboctadekin;interferon gamma-inducing factor;interleukin-1 gamma;	9606	IL18_HUMAN	Interleukin-18
ANA14	CCL22	MDC;ABCD-1;SCYA22;STCP-1;DC/B-CK;A-152E5.1;	6367	HGNC:10621	CCL22	http://www.ncbi.nlm.nih.gov/gene/?term=6367	chemokine (C-C motif) ligand 22	PR:000001994	C-C motif chemokine 22	CCL22;CC chemokine ABCD-1;activated B and dendritic cell-derived;SCYA22;MDC;stimulated T-cell chemotactic protein 1;small-inducible cytokine A22;Abcd1;macrophage-derived chemokine;MDC(1-69);CC chemokine STCP-1;	9606	CCL22_HUMAN	MDC(7-69)
ANA140	IL18R1	CD218a;IL18RA;IL1RRP;CDw218a;IL-1Rrp;	8809	HGNC:5988	IL18R1	http://www.ncbi.nlm.nih.gov/gene/?term=8809	interleukin 18 receptor 1	PR:000001377	interleukin-18 receptor 1	CD218 antigen-like family member A;CD218a;CDw218a;IL-18R-1;IL-18R1;IL-1Rrp;IL1 receptor-related protein;IL18R1PRO-short-label;IL1R-rp;IL1RRP;	9606	IL18R_HUMAN	Interleukin-18 receptor 1
ANA141	IL19	MDA1;NG.1;ZMDA1;IL-10C;	29949	HGNC:5990	IL19	http://www.ncbi.nlm.nih.gov/gene/?term=29949	interleukin 19	PR:000001472	interleukin-19	NG.1;ZMDA1;IL19;IL-19;melanoma differentiation-associated protein-like protein;	9606	IL19_HUMAN	Interleukin-19
ANA142	IL1A	IL1;IL-1A;IL1F1;IL1-ALPHA;	3552	HGNC:5991	IL1A	http://www.ncbi.nlm.nih.gov/gene/?term=3552	interleukin 1, alpha	PR:000001135	interleukin-1 alpha	IL1F1;IL-1 alpha;IL1A;hematopoietin-1;	9606	IL1A_HUMAN	Interleukin-1 alpha
ANA143	IL1B	IL-1;IL1F2;IL1-BETA;	3553	HGNC:5992	IL1B	http://www.ncbi.nlm.nih.gov/gene/?term=3553	interleukin 1, beta	PR:000001136	interleukin-1 beta	IL1F2;catabolin;IL1B;IL-1 beta;	9606	IL1B_HUMAN	Interleukin-1 beta
ANA144	IL1F10	IL-38;FKSG75;IL1HY2;IL-1HY2;IL1-theta;FIL1-theta;	84639	HGNC:15552	IL1F10	http://www.ncbi.nlm.nih.gov/gene/?term=84639	interleukin 1 family, member 10 (theta)	PR:000008987	interleukin-1 family member 10	interleukin-1 family member 10;FIL1 theta;FIL1T;IL-1 theta;IL-1F10;IL-1HY2;IL1F10;IL1HY2;interleukin-1 HY2;interleukin-1 theta;	9606	IL1FA_HUMAN	Interleukin-1 family member 10
ANA145	IL1R1	CD121A;D2S1473;IL-1R-alpha;IL1R;IL1RA;P80;	3554	HGNC:5993	IL1R1	http://www.ncbi.nlm.nih.gov/gene/?term=3554	interleukin 1 receptor, type I	PR:000001363	interleukin-1 receptor type I	IL-1R-1;interleukin-1 receptor alpha;Il-1r1;IL1R;CD121a;CD121 antigen-like family member A;IL-1R-alpha;IL-1RT-1;IL-1RT1;IL1RT1;p80;IL1RA;IL1R1;	9606	IL1R1_HUMAN	Interleukin-1 receptor type 1, soluble form
ANA146	IL1R2	CD121b;CDw121b;IL-1R-2;IL-1RT-2;IL-1RT2c;IL1RB;IL1R2;	7850	HGNC:5994	IL1R2	http://www.ncbi.nlm.nih.gov/gene/?term=7850	interleukin 1 receptor, type II	PR:000001364	interleukin-1 receptor type II	IL1RB;IL-1RT2;IL-1R-beta;CD121b;IL1R2;Il-1r2;interleukin-1 receptor beta;IL-1R-2;CD121 antigen-like family member B;IL-1RT-2;CDw121b;	9606	IL1R2_HUMAN	Interleukin-1 receptor type 2, soluble form
ANA147	IL1RN	DIRA;IRAP;IL1F3;IL1RA;MVCD4;IL-1RN;IL-1ra;IL-1ra3;ICIL-1RA;	3557	HGNC:6000	IL1RN	http://www.ncbi.nlm.nih.gov/gene/?term=3557	interleukin 1 receptor antagonist	PR:000001137	interleukin-1 receptor antagonist protein	anakinra;ICIL-1RA;IL-1RN;IL1 inhibitor;IL1RN;IRAP;IL-1ra;IL1F3;IL1RA;	9606	IL1RA_HUMAN	Interleukin-1 receptor antagonist protein
ANA148	IL2	IL-2;TCGF;lymphokine;	3558	HGNC:6001	IL2	http://www.ncbi.nlm.nih.gov/gene/?term=3558	interleukin 2	PR:000001379	interleukin-2	aldesleukin;T-cell growth factor;IL-2;IL2;TCGF;	9606	IL2_HUMAN	Interleukin-2
ANA149	IL20	IL-20;IL10D;ZCYTO10;	50604	HGNC:6002	IL20	http://www.ncbi.nlm.nih.gov/gene/?term=50604	interleukin 20	PR:000001473	interleukin-20	ZCYTO10;IL-20;cytokine Zcyto10;IL20;	9606	IL20_HUMAN	Interleukin-20
ANA15	CCL23	CKb8;MIP3;Ckb-8;MIP-3;MPIF-1;SCYA23;Ckb-8-1;hmrp-2a;CK-BETA-8;	6368	HGNC:10622	CCL23	http://www.ncbi.nlm.nih.gov/gene/?term=6368	chemokine (C-C motif) ligand 23	PR:000001995	C-C motif chemokine 23	CK-beta-8;MPIF1;macrophage inflammatory protein 3;CCL23;SCYA23;MIP3;CKB-8;small-inducible cytokine A23;MIP-3;MPIF-1;myeloid progenitor inhibitory factor 1;	9606	CCL23_HUMAN	CCL23(30-99)
ANA150	IL20RA	RP11-204P2.1;CRF2-8;IL-20R-alpha;IL-20R1;IL-20RA;	53832	HGNC:6003	IL20RA	http://www.ncbi.nlm.nih.gov/gene/?term=53832	interleukin 20 receptor, alpha	PR:000008996	interleukin-20 receptor subunit alpha	CRF2-8;IL-20 receptor subunit alpha;IL-20R-alpha;IL-20R1;IL-20RA;IL20RA;ZcytoR7;cytokine receptor class-II member 8;cytokine receptor family 2 member 8;interleukin-20 receptor alpha chain;	9606	I20RA_HUMAN	Interleukin-20 receptor subunit alpha
ANA208	RETN	ADSF;RSTN;XCP1;FIZZ3;RETN1	56729	HGNC:20389	RETN	http://www.ncbi.nlm.nih.gov/gene/?term=56729	resistin	PR:000013896	resistin	ADSF;C/EBP-epsilon-regulated myeloid-specific secreted cysteine-rich protein;FIZZ3 (RELATED);HXCP1 (RELATED);RETNPRO-short-label;RSTN (RELATED);adipose tissue-specific secretory factor;adipose-specific cysteine-rich secreted protein A12-alpha;cysteine-rich secreted protein A12-alpha-like 2;cysteine-rich secreted protein FIZZ3;	9606	RETN_HUMAN	Resistin
ANA209	SPP1	OPN;BNSP;BSPI;ETA-1;	6696	HGNC:11255	SPP1	http://www.ncbi.nlm.nih.gov/gene/?term=6696	secreted phosphoprotein 1	PR:000015561	osteopontin	BNSP;2AR;minopontin;SPP1;urinary stone protein;bone sialoprotein 1;Op;calcium oxalate crystal growth inhibitor protein;Eta-1;SPP-1;uropontin;secreted phosphoprotein 1;OPN;nephropontin;early T-lymphocyte activation 1 protein;	9606	OSTP_HUMAN	Osteopontin
ANA21	CCL3L1	LD78;464.2;MIP1AP;SCYA3L;G0S19-2;SCYA3L1;D17S1718;LD78BETA;LD78-beta(1-70);	6349	HGNC:10628	CCL3L1	http://www.ncbi.nlm.nih.gov/gene/?term=6349	chemokine (C-C motif) ligand 3-like 1	-	-	-	9606	CL3L1_HUMAN	LD78-beta(5-70)
ANA210	TDGF1P2	CR-2;TDGF2;CRIPTO-2;	22816	HGNC:11702	TDGF1P2	http://www.ncbi.nlm.nih.gov/gene/?term=22816	teratocarcinoma-derived growth factor 1 pseudogene 2	PR:000016213	teratocarcinoma-derived growth factor 2	teratocarcinoma-derived growth factor 2;TDGF1P3;TDGF2;TDGF3;cripto-3 growth factor;epidermal growth factor-like cripto protein CR3;	9606	-	-
ANA211	TDGF1P3	CR-3;TDGF1;TDGF2;TDGF3;CRIPTO;CRIPTO3;CRIPTO-3;	6998	HGNC:11703	TDGF1P3	http://www.ncbi.nlm.nih.gov/gene/?term=6998	teratocarcinoma-derived growth factor 1 pseudogene 3	-	-	-	9606	-	-
ANA212	TGFA	TFGA;	7039	HGNC:11765	TGFA	http://www.ncbi.nlm.nih.gov/gene/?term=7039	transforming growth factor, alpha	-	-	-	9606	TGFA_HUMAN	Transforming growth factor alpha
ANA213	TGFB1	CED;LAP;DPD1;TGFB;TGFbeta;	7040	HGNC:11766	TGFB1	http://www.ncbi.nlm.nih.gov/gene/?term=7040	transforming growth factor, beta 1	PR:000000182	TGF-beta 1	TGF-beta-1;TGFB;TGFB1;	9606	TGFB1_HUMAN	Latency-associated peptide
ANA214	TGFB2	LDS4;TGF-beta2;	7042	HGNC:11768	TGFB2	http://www.ncbi.nlm.nih.gov/gene/?term=7042	transforming growth factor, beta 2	PR:000000183	TGF-beta 2	BSC-1 cell growth inhibitor;G-TSF;TGF-beta-2;TGFB2;cetermin;glioblastoma-derived T-cell suppressor factor;polyergin;	9606	TGFB2_HUMAN	Latency-associated peptide
ANA215	TGFB3	ARVD;RNHF;ARVD1;TGF-beta3;	7043	HGNC:11769	TGFB3	http://www.ncbi.nlm.nih.gov/gene/?term=7043	transforming growth factor, beta 3	PR:000000184	TGF-beta 3	TGF-beta-3;TGFB3;	9606	TGFB3_HUMAN	Latency-associated peptide
ANA216	TGFBR1	RP11-96L7.1;AAT5;ACVRLK4;ALK-5;ALK5;ESS1;LDS1;LDS1A;LDS2A;MSSE;SKR4;TGFR-1;	7046	HGNC:11772	TGFBR1	http://www.ncbi.nlm.nih.gov/gene/?term=7046	transforming growth factor, beta receptor 1 	PR:000000047	TGF-beta receptor type-1	transforming growth factor-beta receptor type I;activin receptor-like kinase 5;ALK-5;TGFR-1;serine/threonine-protein kinase receptor R4;TbetaR-I;TGF-beta type I receptor;TGFBR1;SKR4;TGF-beta receptor type I;ESK2;	9606	TGFR1_HUMAN	TGF-beta receptor type-1
ANA217	TGFBR2	AAT3;FAA3;LDS1B;LDS2;LDS2B;MFS2;RIIC;TAAD2;TGFR-2;TGFbeta-RII;	7048	HGNC:11773	TGFBR2	http://www.ncbi.nlm.nih.gov/gene/?term=7048	transforming growth factor, beta receptor II 	PR:000000005	TGF-beta receptor type-2	TGFBR2;TGF-beta type II receptor;TbetaR-II;TGFR-2;transforming growth factor-beta receptor type II;TGF-beta receptor type II;	9606	TGFR2_HUMAN	TGF-beta receptor type-2
ANA218	TGFBR3	BGCAN;betaglycan;	7049	HGNC:11774	TGFBR3	http://www.ncbi.nlm.nih.gov/gene/?term=7049	transforming growth factor, beta receptor III 	PR:000003110	TGF-beta receptor type-3	betaglycan;transforming growth factor beta receptor III;TGF-beta receptor type 3;TGFBR3;TGF-beta receptor type III;TGFR-3;	9606	TGBR3_HUMAN	Transforming growth factor beta receptor type 3
ANA219	THPO	ML;TPO;MGDF;MKCSF;MPLLG;THCYT1;	7066	HGNC:11795	THPO	http://www.ncbi.nlm.nih.gov/gene/?term=7066	thrombopoietin	PR:000016318	thrombopoietin	myeloproliferative leukemia virus oncogene ligand;megakaryocyte growth and development factor;THPO;MGDF;C-mpl ligand;megakaryocyte colony-stimulating factor;ML;	9606	TPO_HUMAN	Thrombopoietin
ANA22	CCL3L3	LD78;464.2;SCYA3L;G0S19-2;SCYA3L1;D17S1718;LD78BETA;	414062	HGNC:30554	CCL3L3	http://www.ncbi.nlm.nih.gov/gene/?term=414062	chemokine (C-C motif) ligand 3-like 3	PR:000019256	C-C motif chemokine 3-like 1, full-length form	CCL3L3/Full;	9606	CL3L1_HUMAN	LD78-beta(5-70)
ANA220	TNF	DIF;TNFA;TNFSF2;TNF-alpha;	7124	HGNC:11892	TNFA	http://www.ncbi.nlm.nih.gov/gene/?term=7124	tumor necrosis factor	PR:000000134	tumor necrosis factor alpha	TNFSF2;cachectin;tumor necrosis factor ligand superfamily member 2;TNF-alpha;TNFA;TNF-a;TNF;	9606	TNFA_HUMAN	Tumor necrosis factor, soluble form
ANA221	TNFRSF10A	APO2;CD261;DR4;TRAILR-1;TRAILR1;	8797	HGNC:11904	TNFRSF10A	http://www.ncbi.nlm.nih.gov/gene/?term=8797	tumor necrosis factor receptor superfamily, member 10a	PR:000002108	tumor necrosis factor receptor superfamily member 10A	APO2;CD261;DR4;TNF-related apoptosis-inducing ligand receptor 1;TNFRSF10A;TRAIL receptor 1;TRAIL-R1;TRAILR1;death receptor 4	9606	TR10A_HUMAN	Tumor necrosis factor receptor superfamily member 10A
ANA222	TNFRSF10B	UNQ160/PRO186;CD262;DR5;KILLER;KILLER/DR5;TRAIL-R2;TRAILR2;TRICK2;TRICK2A;TRICK2B;TRICKB;ZTNFR9;	8795	HGNC:11905	TNFRSF10B	http://www.ncbi.nlm.nih.gov/gene/?term=8795	tumor necrosis factor receptor superfamily, member 10b	PR:000002109	tumor necrosis factor receptor superfamily member 10B	TNFRSF10B;TRAIL receptor 2;TRICK2;TRAILR2;MK;KILLER;death receptor 5;ZTNFR9;TRAIL-R2;DR5;CD262;TNF-related apoptosis-inducing ligand receptor 2;	9606	TR10B_HUMAN	Tumor necrosis factor receptor superfamily member 10B
ANA223	TNFRSF10C	UNQ321/PRO366;CD263;DCR1;DCR1-TNFR;LIT;TRAIL-R3;TRAILR3;TRID;	8794	HGNC:11906	TNFRSF10C	http://www.ncbi.nlm.nih.gov/gene/?term=8794	tumor necrosis factor receptor superfamily, member 10c, decoy without an intracellular domain	PR:000001952	tumor necrosis factor receptor superfamily member 10C	decoy TRAIL receptor without death domain;CD263;lymphocyte inhibitor of TRAIL;TRAIL-R3;TRID;decoy receptor 1;TRAIL receptor without an intracellular domain;TNFRSF10C;TRAIL receptor 3;TNF-related apoptosis-inducing ligand receptor 3;DcR1;LIT;TRAILR3;antagonist decoy receptor for TRAIL/Apo-2L;	9606	TR10C_HUMAN	Tumor necrosis factor receptor superfamily member 10C
ANA224	TNFRSF10D	UNQ251/PRO288;CD264;DCR2;TRAIL-R4;TRAILR4;TRUNDD;	8793	HGNC:11907	TNFRSF10D	http://www.ncbi.nlm.nih.gov/gene/?term=8793	tumor necrosis factor receptor superfamily, member 10d, decoy with truncated death domain 	PR:000001953	tumor necrosis factor receptor superfamily member 10D	CD264;TNF-related apoptosis-inducing ligand receptor 4;TNFRSF10D;DcR2;TRAIL-R4;TRAIL receptor with a truncated death domain;TRUNDD;TRAILR4;decoy receptor 2;TRAIL receptor 4;	9606	TR10D_HUMAN	Tumor necrosis factor receptor superfamily member 10D
ANA225	TNFRSF11A	CD265;FEO;LOH18CR1;ODFR;OFE;OPTB7;OSTS;PDB2;RANK;TRANCER;	8792	HGNC:11908	TNFRSF11A	http://www.ncbi.nlm.nih.gov/gene/?term=8792	tumor necrosis factor receptor superfamily, member 11a, NFKB activator	PR:000001954	tumor necrosis factor receptor superfamily member 11A	receptor activator of NF-KB;RANK;ODFR;TNFRSF11A;CD265;osteoclast differentiation factor receptor;	9606	TNR11_HUMAN	Tumor necrosis factor receptor superfamily member 11A
ANA226	TNFRSF11B	OCIF;OPG;TR1;	4982	HGNC:11909	OPG	http://www.ncbi.nlm.nih.gov/gene/?term=4982	tumor necrosis factor receptor superfamily, member 11b 	PR:000016480	tumor necrosis factor receptor superfamily member 11B	OCIF;TNFRSF11B;osteoprotegerin;OPG;osteoclastogenesis inhibitory factor;	9606	TR11B_HUMAN	Tumor necrosis factor receptor superfamily member 11B
ANA227	TNFRSF13B	CD267;CVID;CVID2;RYZN;TACI;TNFRSF14B;	23495	HGNC:18153	TNFRSF13B	http://www.ncbi.nlm.nih.gov/gene/?term=23495	tumor necrosis factor receptor superfamily, member 13B	PR:000001956	tumor necrosis factor receptor superfamily member 13B	TNFRSF13B;TACI;CD267;transmembrane activator and CAML interactor;	9606	TR13B_HUMAN	Tumor necrosis factor receptor superfamily member 13B
